------------------------------------------------------------------------------------
导出信息：
姓名：向一丁
支付宝账户：19974517887
起始时间：[2026-06-30 00:00:00]    终止时间：[2026-08-26 23:59:59]
导出交易类型：[全部]
导出时间：[2026-09-14 18:59:15]
共134笔记录
收入：0笔 0.00元
支出：28笔 5349.55元
不计收支：106笔 1570.53元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-08-26 15:07:53,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,10.38,花呗,交易成功,2026082623001401351452688731	,0003N202608260000000017229763245	,,
2026-08-26 09:46:52,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-建信新兴市场优选混合(QDII)C-买入,不计收支,30.00,中国工商银行储蓄卡(9114),交易成功,20260826001080012204350088189697	,	,,
2026-08-26 02:14:16,投资理财,上银慧盈利货币A,/,余额宝-2026.08.25-收益发放,不计收支,0.13,余额宝,交易成功,20260826334289123351	,	,,
2026-08-25 09:47:18,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-建信新兴市场优选混合(QDII)C-买入,不计收支,30.00,中国工商银行储蓄卡(9114),交易成功,20260825001080012204350085260399	,	,,
2026-08-25 03:03:31,服饰装扮,座套**饰,193******52,大码300斤老钱风复古镂空针织短袖开衫男士宽松夏季薄款慵懒感T恤,支出,86.20,花呗,交易成功,2026082523001101351447215649	,T200P3316373078274000565	,,
2026-08-25 02:16:40,投资理财,上银慧盈利货币A,/,余额宝-2026.08.24-收益发放,不计收支,0.13,余额宝,交易成功,20260825331700094351	,	,,
2026-08-24 09:58:04,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-建信新兴市场优选混合(QDII)C-买入,不计收支,30.00,中国工商银行储蓄卡(9114),交易成功,20260824001080012204350082246347	,	,,
2026-08-24 02:52:19,日用百货,t***8,150******39,【秒回】阿联酋迪拜机场贵宾室厅T1T2T3休息室转机过夜 头,支出,160.00,花呗,交易成功,2026082423001101351436466131	,T200P3316800829241046574	,,
2026-08-24 02:00:22,投资理财,上银慧盈利货币A,/,余额宝-2026.08.23-收益发放,不计收支,0.13,余额宝,交易成功,20260824323252640351	,	,,
2026-08-23 02:03:17,投资理财,上银慧盈利货币A,/,余额宝-2026.08.22-收益发放,不计收支,0.14,余额宝,交易成功,20260823318393137351	,	,,
2026-08-22 19:25:05,交通出行,铁路12306,chi***@alipay.com,火车票,支出,163.45,余额宝&支付立减优惠,交易成功,2026082222001401351430001023	,M2026082250766368	,,
2026-08-22 02:00:19,投资理财,上银慧盈利货币A,/,余额宝-2026.08.21-收益发放,不计收支,0.14,余额宝,交易成功,20260822314008210351	,	,,
2026-08-21 19:32:59,酒店旅游,Agoda Company Pte. Ltd.,b15***@service.aliyun.com,马迪纳旅舍 (Madina Hostel),支出,48.90,花呗,交易成功,2026082122001401351422909877	,2026082119074101000150028223110	,,
2026-08-21 09:45:06,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-建信新兴市场优选混合(QDII)C-买入,不计收支,30.00,中国工商银行储蓄卡(9114),交易成功,20260821001080012204350075637283	,	,,
2026-08-21 02:04:24,投资理财,上银慧盈利货币A,/,余额宝-2026.08.20-收益发放,不计收支,0.14,余额宝,交易成功,20260821306764748351	,	,,
2026-08-20 13:43:26,日用百货,哎***e,182******64,开罗大埃及博物馆门票电子票代买(一价全包),支出,90.00,花呗,交易成功,2026082023001101351420775642	,T200P3316359723071037392	,,
2026-08-20 09:52:09,投资理财,蚂蚁财富-蚂蚁（杭州）基金销售有限公司,/,蚂蚁财富-建信新兴市场优选混合(QDII)C-买入,不计收支,30.00,中国工商银行储蓄卡(9114),交易成功,20260820001080012204350072677995	,	,,
2026-08-20 02:19:26,投资理财,上银慧盈利货币A,/,余额宝-2026.08.19-收益发放,不计收支,0.14,余额宝,交易成功,20260820399371954351	,	,,
